ID_Venta;Fecha_Venta;Provincia;Tipo_Comprador;Tipo_Empresa;Vehiculo_Nuevo;Marca;Tipo_Vehiculo;Kilometraje;Precio_USD;Valor_Dolar;Modelo_Vehiculo;Consumo_Litros_100km;Costo_Mantenimiento_Anual;Color
1;18/3/2022;Tucuman;Particular;NA;SI;Mercedes-Benz;Trafic;0;76177,50483;131,6969387;2022;21,83582946;3871,603355;Gris 
2;21/9/2022;Cordoba;Particular;NA;No;Toyota;SUV;237740;59373,04844;129,0038998;2005;9,974152895;3218,352379;Gris 
3;10/3/2022;Santa Fe;Particular;NA;No;Mercedes-Benz;Trafic;108993;73487,05255;156,5218273;2005;11,16530746;532,2744038;Gris 
4;5/8/2023;Tucuman;Particular;NA;No;Toyota;Auto;209384;13798,06515;120,8424526;2016;20,12482988;836,8467469;Gris 
5;15/12/2023;Misiones;Particular;NA;No;Ford;Camion;103248;24093,02155;177,7582825;2016;7,107215815;4859,986977;Gris 
6;6/8/2022;Salta;Particular;NA;SI;Ford;Auto;0;57067,72862;121,5554475;2022;12,58255643;4477,816662;Gris 
7;11/8/2023;Santa Fe;Particular;NA;No;Mercedes-Benz;Auto;5820;56425,83179;195,183914;2016;13,75089477;4379,494098;Gris 
8;29/4/2022;Buenos Aires;Empresa;Transporte;SI;Toyota;Trafic;0;65808,84612;125,2581749;2022;11,4666034;2048,927582;Gris 
9;23/9/2022;Cordoba;Particular;NA;No;Nissan;Camioneta;140285;48857,90026;103,2948105;2005;11,24459132;1698,235721;Gris 
10;20/8/2022;Tucuman;Particular;NA;No;Chevrolet;Camion;20932;71952,50807;170,7782474;2005;6,447974825;3327,082777;Gris 
11;14/4/2023;Salta;Particular;NA;No;Ford;Trafic;69585;69231,66769;176,7844551;2016;16,45452155;2790,531657;Gris 
12;7/1/2023;Buenos Aires;Particular;NA;No;Toyota;SUV;215898;29613,8974;155,8436368;2016;13,75094941;4821,392158;Gris 
13;28/10/2022;Buenos Aires;Particular;NA;No;Renault;SUV;118101;74778,35921;116,9309716;2005;21,0565841;1801,24548;Gris 
14;2/1/2023;Buenos Aires;Particular;NA;SI;Chevrolet;Camion;0;29209,67705;142,7125605;2023;21,78592147;2694,702137;Gris 
15;6/3/2023;Mendoza;Particular;NA;SI;Mercedes-Benz;Camioneta;0;118608,9885;148,6224476;2023;15,9930753;1274,293492;Gris 
16;27/3/2023;Buenos Aires;Empresa;Comercial;SI;Fiat;Auto;0;77139,54698;153,3773265;2023;12,19991859;2142,547448;Gris 
17;16/10/2023;Santa Fe;Empresa;Transporte;No;Chevrolet;Camioneta;296348;28480,424;115,5263673;2016;12,63044136;2748,95843;Gris 
18;2/12/2023;Mendoza;Particular;NA;SI;Volkswagen;Camioneta;0;86507,67925;190,4388434;2023;14,34578039;2088,062885;Gris 
19;7/5/2022;Mendoza;Particular;NA;No;Mercedes-Benz;Auto;255339;66524,34324;105,924744;2005;5,285925075;1324,938344;Gris 
20;28/2/2023;Cordoba;Empresa;Transporte;No;Volkswagen;Trafic;92515;47902,42059;140,4433193;2016;11,36475404;3985,913743;Gris 
21;24/10/2023;Cordoba;Empresa;Transporte;SI;Chevrolet;Auto;0;59463,68601;182,2104379;2023;13,39944859;2144,173955;Gris 
22;13/3/2022;Santa Fe;Empresa;Transporte;No;Mercedes-Benz;Auto;274447;44317,63781;184,674961;2005;22,88760407;4435,59749;Gris 
23;27/3/2022;Santa Fe;Particular;NA;No;Fiat;Camion;291069;102571,1341;121,3214897;2005;15,8114147;2066,595433;Gris 
24;20/10/2023;Santa Fe;Particular;NA;No;Toyota;SUV;196689;50103,22956;140,3279604;2016;24,72071874;4032,018942;Gris 
25;31/1/2022;Tucuman;Empresa;Comercial;SI;Renault;Camion;0;59000,51169;142,5607813;2022;5,02732139;2484,074382;Gris 
26;29/6/2022;Buenos Aires;Particular;NA;No;Toyota;Camioneta;145977;55311,73666;132,4825231;2005;11,43820284;836,7449385;Gris 
27;11/7/2023;Buenos Aires;Empresa;Produccion;No;Chevrolet;Trafic;210700;76338,2217;148,7117573;2016;16,36856467;4673,70637;Gris 
28;22/12/2023;Tucuman;Empresa;Transporte;No;Renault;Auto;164656;17261,31528;107,7975656;2016;22,76066561;4835,292705;Gris 
29;31/1/2022;Buenos Aires;Particular;NA;No;Mercedes-Benz;SUV;151137;42062,08076;160,6161881;2006;23,86287371;2467,686601;Gris 
30;25/12/2022;Mendoza;Particular;NA;No;Ford;Trafic;164928;32379,95251;137,5043168;2006;19,48867569;3436,43707;Gris 
31;8/9/2023;Buenos Aires;Particular;NA;No;Volkswagen;SUV;235866;10357,11984;159,6674937;2016;15,56184224;745,195989;Gris 
32;13/2/2023;Cordoba;Empresa;Servicios;No;Volkswagen;Camioneta;31735;78797,73845;182,5665687;2017;23,44327614;1078,650346;Gris 
33;2/5/2023;Cordoba;Empresa;Servicios;No;Volkswagen;SUV;144268;65651,83215;142,1340747;2017;7,627850954;1704,636023;Gris 
34;19/7/2022;Santa Fe;Empresa;Transporte;SI;Toyota;Auto;0;46847,04009;179,6830666;2022;9,815421684;1480,472667;Gris 
35;5/5/2022;Santa Fe;Particular;NA;SI;Volkswagen;Camion;0;101721,678;163,1326372;2022;24,00308562;2518,637755;Gris 
36;24/4/2023;Santa Fe;Particular;NA;No;Ford;Auto;63671;19990,56278;104,2833716;2017;22,88457949;4355,757207;Gris 
37;16/10/2022;Entre Rios;Particular;NA;SI;Fiat;Auto;0;37235,97435;187,4643936;2022;20,49842324;3079,319659;Gris 
38;1/12/2022;Tucuman;Particular;NA;No;Chevrolet;Auto;106991;37409,60723;192,3349945;2006;23,4994076;2745,402644;Gris 
39;23/8/2022;Tucuman;Empresa;Comercial;SI;Fiat;Camioneta;0;112420,5136;121,1771567;2022;6,891170471;978,7579462;Gris 
40;13/9/2022;Santa Fe;Empresa;Servicios;SI;Mercedes-Benz;Auto;0;37383,38432;193,0966294;2022;9,366239415;4883,461573;Gris 
41;14/9/2023;Cordoba;Particular;NA;No;Mercedes-Benz;Camion;96543;50977,66493;162,3647721;2017;5,500159328;4481,888105;Gris 
42;27/4/2023;Buenos Aires;Empresa;Construccion;No;Fiat;Camioneta;150532;115795,2671;114,4812106;2017;14,81173539;1633,078608;Gris 
43;21/12/2023;Buenos Aires;Particular;NA;No;Chevrolet;Auto;222394;20834,97098;152,9568743;2017;14,03287431;2864,271273;Gris 
44;29/1/2023;Santa Fe;Particular;NA;SI;Renault;Camion;0;44974,39211;163,9034029;2023;22,19210074;4596,740237;Gris 
45;22/3/2022;Entre Rios;Particular;NA;No;Nissan;Camioneta;28217;98753,95116;194,088294;2006;11,39566882;843,1685355;Gris 
46;25/11/2022;Santa Fe;Empresa;Produccion;No;Ford;SUV;125166;8299,515675;137,9741696;2006;17,02753718;3422,00231;Gris 
47;11/11/2023;Cordoba;Particular;NA;No;Toyota;Auto;260905;11061,4894;133,320114;2017;13,87143674;4416,797902;Gris 
48;9/2/2023;Buenos Aires;Particular;NA;SI;Nissan;Moto;0;58545,58994;176,0741611;2023;5,120219745;2559,672467;Gris 
49;15/7/2022;Buenos Aires;Empresa;Servicios;No;Nissan;Auto;125296;23222,41045;156,288194;2006;7,394127998;607,0604509;Gris 
50;25/5/2023;Misiones;Particular;NA;SI;Volkswagen;Moto;0;25857,83341;100,1310968;2023;21,43171341;959,3950327;Gris 
51;2/2/2023;Buenos Aires;Particular;NA;No;Renault;Auto;175260;19549,76963;113,8975936;2017;20,67792568;1434,11214;Gris 
